카테고리,기능명,HTTP 메서드,엔드포인트,구현 - BE,연동 - FE,상세 설명,우선순위,이름
1. 인증,회원가입,POST,/api/auth/signup,완료,완료,이메일/소셜 가입. JWT access(1h) + refresh(30d) 발급. 회원가입 시 인증정보(email/password) + 개인정보(name/phone/age/gender) + 신체정보(height/weight) + 당뇨정보(diabetesType/isMedicated) + 목표혈당(targetLow/targetHigh) + 주간시작요일까지 한 번에 입력.,🔴 Highest,
1. 인증,이메일 중복 확인,GET,/api/auth/email/check?email={email},완료,미연동,회원가입 전 이메일 사용 가능 여부 사전 조회. 인증 불필요. per-IP rate limit 10/min.,🟠 High,
1. 인증,로그인,POST,/api/auth/login,완료,완료,JWT Bearer 토큰 발급. 탈퇴 사용자(deleted_at IS NOT NULL) 차단. 사용자 열거 방지 메시지 통일,🔴 Highest,
1. 인증,토큰 갱신,POST,/api/auth/refresh,완료,완료,access 만료 시 refresh로 재발급. Refresh Rotation 적용 (재사용 감지 시 모든 토큰 무효화),🔴 Highest,
1. 인증,로그아웃,POST,/api/auth/logout,완료,완료,Redis의 RefreshToken 삭제,🔴 Highest,
1. 인증,회원 탈퇴,DELETE,/api/auth/withdraw,완료,완료,비밀번호 재검증 후 소프트 삭제(deleted_at 기록) + 이메일 익명화 + RefreshToken 삭제,🟠 High,
1. 인증,비밀번호 변경,PUT,/api/auth/password,완료,미연동,로그인 사용자가 현재 비밀번호 검증 후 새 비밀번호로 교체. 성공 시 모든 기기의 RefreshToken 무효화.,🟠 High,
2. 사용자 설정,내 프로필 조회,GET,/api/user/me,미구현,미연동,"로그인 사용자 프로필(email, provider) 및 설정값 반환",🟠 High,
2. 사용자 설정,설정 조회,GET,/api/user/settings,완료,미연동,"키·체중·당뇨유형·목표혈당·주간시작요일 등 설정값 반환. height/weight BigDecimal NUMERIC(4,1), target_low/high BigDecimal NUMERIC(5,2)",🟠 High,
2. 사용자 설정,설정 수정,PUT,/api/user/settings,완료,미연동,변경 즉시 대시보드 기준선·알림 임계값 갱신. null 필드는 기존값 유지 (부분 업데이트),🟠 High,
2. 사용자 설정,보호자 목록 조회,GET,/api/user/guardians,완료,미연동,priority 오름차순 정렬. SOS 연락 순서와 동일,🟠 High,
2. 사용자 설정,보호자 등록,POST,/api/user/guardians,완료,미연동,SOS 발송 대상 보호자 등록. priority는 서버가 현재 보호자 수로 자동 할당 (Short),🟠 High,
2. 사용자 설정,보호자 수정,PUT,/api/user/guardians/{guardianId},완료,미연동,관계(relation) 수정. null 필드는 기존값 유지,🟠 High,
2. 사용자 설정,보호자 삭제,DELETE,/api/user/guardians/{guardianId},완료,미연동,삭제 후 나머지 priority 자동 재정렬 (빈자리 당기기),🟠 High,
2. 사용자 설정,FCM 토큰 등록/갱신,PUT,/api/user/fcm-token,완료,미연동,앱/워치 설치 시 등록. device_type: ANDROID / WATCH (대문자 enum). 기존 토큰 있으면 갱신,🟠 High,
2. 사용자 설정,FCM 토큰 삭제,DELETE,/api/user/fcm-token,미구현,미연동,로그아웃 시 is_active=false 처리,🟠 High,
